DATAFLOW,FREQ,REF_AREA,MEASURE,UNIT_MEASURE,CHAPTER,TIME_PERIOD,OBS_VALUE,ADJUSTMENT,COUNTERPART_AREA,SECTOR,COUNTERPART_SECTOR,CONSOLIDATION,ACCOUNTING_ENTRY,TRANSACTION,INSTR_ASSET,MATURITY,PRODUCT,PENSION_FUNDTYPE,CURRENCY_DENOM,VALUATION,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),A,AUS,B1GQ,USD_PPP,NAAG_I,1970,58.9207492824262,N,D,S1,S1,_Z,B,B1GQ,_Z,,,,,,V,N,,,,F,2,A,9,_Z
OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),A,CAN,B1GQ,USD_PPP,NAAG_I,1970,99.2496556414224,N,D,S1,S1,_Z,B,B1GQ,_Z,,,,,,V,N,,,,F,2,A,9,_Z
OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),A,DNK,B1GQ,USD_PPP,NAAG_I,1970,20.5044467839412,N,D,S1,S1,_Z,B,B1GQ,_Z,,,,,,V,N,,,,F,2,A,9,_Z
OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),A,FRA,B1GQ,USD_PPP,NAAG_I,1970,189.176417923055,N,D,S1,S1,_Z,B,B1GQ,_Z,,,,,,V,N,,,,F,2,A,9,_Z
OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),A,KOR,B1GQ,USD_PPP,NAAG_I,1970,19.4532034364876,N,D,S1,S1,_Z,B,B1GQ,_Z,,,,,,V,N,,,,F,2,A,9,_Z
OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),A,NOR,B1GQ,USD_PPP,NAAG_I,1970,12.9787762023655,N,D,S1,S1,_Z,B,B1GQ,_Z,,,,,,V,N,,,,F,2,A,9,_Z
OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),A,GBR,B1GQ,USD_PPP,NAAG_I,1970,203.070176720991,N,D,S1,S1,_Z,B,B1GQ,_Z,,,,,,V,N,,,,F,2,A,9,_Z
OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),A,USA,B1GQ,USD_PPP,NAAG_I,1970,1073.303,N,D,S1,S1,_Z,B,B1GQ,_Z,,,,,,V,N,,,,F,2,A,9,_Z
OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),A,CHN,B1GQ,USD_PPP,NAAG_I,1970,85.5769722961796,N,D,S1,S1,_Z,B,B1GQ,_Z,,,,,,V,N,,,,F,2,A,9,_Z
OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),A,AUS,B1GQ,USD_PPP,NAAG_I,1971,64.2014145664187,N,D,S1,S1,_Z,B,B1GQ,_Z,,,,,,V,N,,,,F,2,A,9,_Z
OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),A,CAN,B1GQ,USD_PPP,NAAG_I,1971,108.472328381474,N,D,S1,S1,_Z,B,B1GQ,_Z,,,,,,V,N,,,,F,2,A,9,_Z
